title,line_text
Jednego serca! tak maÅ‚o! tak maÅ‚o,"I oczu dwoje, gdzieby, patrzyÅ‚ Å›miaÅ‚o,"
Jednego serca! tak maÅ‚o! tak maÅ‚o,WidzÄ…c siÄ™ Å›wiÄ™tym pomiÄ™dzy Å›wiÄ™temi.
Jednego serca! tak maÅ‚o! tak maÅ‚o,Jednego serca i rÄ…k biaÅ‚ych dwoje!
Jednego serca! tak maÅ‚o! tak maÅ‚o,"Coby mi oczy zasÅ‚oniÅ‚y moje,"
Jednego serca! tak maÅ‚o! tak maÅ‚o,"Bym zasnÄ…Å‚ sÅ‚odko, marzÄ…c o aniele,"
Jednego serca! tak maÅ‚o! tak maÅ‚o,KtÃ³ry mnie niesie w objÄ™ciach nieba...
Jednego serca! tak maÅ‚o! tak maÅ‚o,"Jednego serca! tak maÅ‚o mi trzeba,"
Jednego serca! tak maÅ‚o! tak maÅ‚o,"A jednak widzÄ™, Å¼e Å¼Ä…dam za wiele!"
Słonko,"Wędrowało sobie słonko,"
Słonko,"Uśmiechnięte, jasne, złote,"
Słonko,"Szło nad gajem, szło nad łąką,"
Słonko,Napotkało w łzach sierotę -
Słonko,"Ten się żali: ""Tak wesoło"
Słonko,"Świecisz światu, słonko moje,"
Słonko,"Uśmiechami sypiesz wkoło,"
Słonko,Gdy ja smutny we łzach stoję;
Słonko,"Obojętnie patrzysz na to,"
Słonko,Jak się ludzkie serca męczą...
Słonko,I nad każdą ludzką stratą
Słonko,"Promienistą błyskasz tęczą."""
Słonko,"Słonko na to; ""Biedne dziecię!"
Słonko,"I mnie smutno na niebiosach,"
Słonko,Gdy o waszym myślę świecie
Słonko,I o ludzi ciężkich losach.
Słonko,"Lecz nie mogę ustać w drodze,"
Słonko,By nad każdą boleć raną -
Słonko,"Więc w złocistym blasku chodzę,"
Słonko,"Wypełniając, co kazano."
Słonko,Nie pomogą próżne żale...
Słonko,Ból swój niebu trza polecić -
Słonko,A samemu wciąż wytrwale
Słonko,"Trzeba naprzód iść... i świecić!"""
Do Młodych,Szukajcie prawdy jasnego płomienia!
Do Młodych,"Szukajcie nowych, nie odkrytych dróg..."
Do Młodych,Za każdym krokiem w tajniki stworzenia
Do Młodych,Coraz się dusza ludzka rozprzestrzenia
Do Młodych,I większym staje się Bóg!
Do Młodych,"Choć otrząśniecie kwiaty barwnych mitów,"
Do Młodych,"Choć rozproszycie legendowy mrok,"
Do Młodych,"Choć mgle urojeń zedrzecie z błękitów,"
Do Młodych,"Ludziom niebiańskich nie zbraknie zachwytów,"
Do Młodych,Lecz dalej sięgnie ich wzrok.
Do Młodych,Każda epoka ma swe własne cele
Do Młodych,I zapomina o wczorajszych snach...
Do Młodych,Nieście więc wiedzy pochodnie na czele
Do Młodych,"I nowy udział bierzcie w wieków dziele,"
Do Młodych,Przyszłości podnoście gmach!
Do Młodych,"Ale nie depczcie przeszłości ołtarzy,"
Do Młodych,Choć macie sami doskonalsze wznieść;
Do Młodych,Na nich się jeszcze święty ogień żarzy
Do Młodych,"I miłość ludzka stoi tam na straży,"
Do Młodych,I wy winniście im cześć!
Do Młodych,"Ze światem, który w ciemność już zachodzi"
Do Młodych,"Wraz z cała tęczą idealnych snów,"
Do Młodych,"Prawdziwa mądrość niechaj was pogodzi,"
Do Młodych,"I wasze gwiazdy, o zdobywcy młodzi,"
Do Młodych,W ciemności pogasną znów!
Tęsknota,"Obłoki, co z ziemi wstają"
Tęsknota,"I płyną w słońca blask złoty,"
Tęsknota,"Ach, one mi się być zdają"
Tęsknota,Skrzydłami mojej tęsknoty.
Tęsknota,Te białe skrzydła powiewne
Tęsknota,"Często nad ziemią obwisną,"
Tęsknota,"Łzy po nich spływają rzewne,"
Tęsknota,Czasem i tęczą zabłysną.
Tęsknota,"Gwiazdy, co krążą w przestrzeniach"
Tęsknota,"Po drogach nieskończoności,"
Tęsknota,Są one dla mnie w marzeniach
Tęsknota,Oczami mojej miłości.
Tęsknota,Patrzą się w ciemne odmęty
Tęsknota,Te wielkie ruchome słońca...
Tęsknota,"I ja miłością przejęty,"
Tęsknota,Patrzę i tęsknię bez końca.
Tęsknota,11 październik 1871
Ja Ciebie kocham,Ja ciebie kocham! Ach te słowa
Ja Ciebie kocham,Tak dziwnie w moim sercu brzmią.
Ja Ciebie kocham,Miałażby wrócić wiosna nowa?
Ja Ciebie kocham,I zbudzić kwiaty co w nim śpią?
Ja Ciebie kocham,"Miałbym w miłości cud uwierzyć,"
Ja Ciebie kocham,Jak Łazarz z grobu mego wstać?
Ja Ciebie kocham,"Młodzieńczy, dawny kształt odświeżyć,"
Ja Ciebie kocham,Z rąk twoich nowe życie brać?
Ja Ciebie kocham,Ja ciebie kocham? Czyż być może?
Ja Ciebie kocham,Czyż mnie nie zwodzi złudzeń moc?
Ja Ciebie kocham,Ach nie! bo jasną widzę zorzę
Ja Ciebie kocham,I pierzchającą widzę noc!
Ja Ciebie kocham,"I wszystko we mnie inne, świeże,"
Ja Ciebie kocham,"Zwątpienia w sercu stopniał lód,"
Ja Ciebie kocham,I znowu pragnę - kocham - wierzę -
Ja Ciebie kocham,Wierzę w miłości wieczny cud!
Ja Ciebie kocham,"Ja ciebie kocham! Świat się zmienia,"
Ja Ciebie kocham,"Zakwita szczęściem od tych słów,"
Ja Ciebie kocham,I tak jak w pierwszych dniach stworzenia
Ja Ciebie kocham,Przybiera ślubną szatę znów!
Ja Ciebie kocham,"A dusza skrzydła znów dostaje,"
Ja Ciebie kocham,Już jej nie ściga ziemski żal -
Ja Ciebie kocham,I w elizejskie leci gaje -
Ja Ciebie kocham,I tonie pośród światła fal!
Przyjście Mesjasza,Lud czekający na swego Mesjasza
Przyjście Mesjasza,Nie zwróci oczu na dziecinę małą
Przyjście Mesjasza,I do biednego nie zajrzy poddasza;
Przyjście Mesjasza,"Mniema, że zbawcę, którego czekało"
Przyjście Mesjasza,"Tyle pokoleń, ujrzy ziemia nasza"
Przyjście Mesjasza,"Od razu ziemską okrytego chwałą,"
Przyjście Mesjasza,Jak na wojsk czele niewiernych rozprasza —
Przyjście Mesjasza,"Mniema, że wszystko będzie przed nim drżało."
Przyjście Mesjasza,"Że nawet głowy ugną się książęce,"
Przyjście Mesjasza,Zdając mu władzę nad światem...
Przyjście Mesjasza,"Więc jeśli usłyszy, że się narodził w stajence"
Przyjście Mesjasza,"I że mędrcowie dary mu przynieśli,"
Przyjście Mesjasza,Pyta ze śmiechem: „Jak to? ten syn cieśli
Przyjście Mesjasza,"Ma rządy świata ująć w swoje ręce?"""
Miłość jak słońce,Miłość jak słońce: ogrzewa świat cały
Miłość jak słońce,"I swoim blaskiem ożywia różanym,"
Miłość jak słońce,"W głębiach przepaści, w rozpadlinach skały"
Miłość jak słońce,Dozwala kwiatom rozkwitnąć wionianym
Miłość jak słońce,I wyprowadza z martwych głazów łona
Miłość jak słońce,Coraz to nowe na przyszłość nasiona.
Miłość jak słońce,Miłość jak słońce: barwy uroczemi
Miłość jak słońce,Wszystko dokoła cudownie powleka;
Miłość jak słońce,"Żywe piękności wydobywa z ziemi,"
Miłość jak słońce,Z serca natury i z serca człowieka
Miłość jak słońce,"I szary, mglisty widnokrąg istnienia"
Miłość jak słońce,W przędzę z purpury i złota zamienia.
Miłość jak słońce,"Miłość jak słońce: wywołuje burze,"
Miłość jak słońce,"Które grom niosą w ciemnościach spowity,"
Miłość jak słońce,"I tęczę pieśni wiesza na łez chmurze,"
Miłość jak słońce,"Gdy rozpłakana wzlatuje w błękity,"
Miłość jak słońce,"I znów z obłoków wyziera pogodnie,"
Miłość jak słońce,"Gdy burza we łzach zgasi swe pochodnie,"
Miłość jak słońce,"Miłość jak słońce: choć zajdzie w pomroce,"
Miłość jak słońce,Jeszcze z blaskami srebrnego miesiąca
Miłość jak słońce,Powraca smutne rozpromieniać noce
Miłość jak słońce,"I przez ciemność przedziera się drżąca,"
Miłość jak słońce,"Pełna tęsknoty cichej i żałoby,"
Miłość jak słońce,By wieńczyć śpiące ruiny i groby.
*** (Trzeba z żywymi naprzód iść),"Trzeba z żywymi naprzód iść,"
*** (Trzeba z żywymi naprzód iść),"Po życie sięgać nowe,"
*** (Trzeba z żywymi naprzód iść),A nie w uwiędłych laurów liść
*** (Trzeba z żywymi naprzód iść),Z uporem stroić głowę
*** (Trzeba z żywymi naprzód iść),Wy nie cofniecie życia fal!
*** (Trzeba z żywymi naprzód iść),Nic skargi nie pomogą:
*** (Trzeba z żywymi naprzód iść),"Bezsilne gniewy, próżny żal!"
*** (Trzeba z żywymi naprzód iść),Świat pójdzie swoją drogą!
Ulewa,"Na szczytach Tatr, na szczytach Tatr,"
Ulewa,Na sinej ich krawędzi
Ulewa,Króluje w mgłach świszczący wiatr
Ulewa,I ciemne chmury pędzi.
Ulewa,Rozpostarł z mgły utkany płaszcz
Ulewa,I rosę z chmur wyciska -
Ulewa,A strugi wód z wilgotnych paszcz
Ulewa,Spływają na urwiska.
Ulewa,"Na piętra gór, na ciemny bór"
Ulewa,"Zasłony spadły sine,"
Ulewa,W deszczowych łzach granitów gmach
Ulewa,Rozpłynął się w równinę.
Ulewa,Nie widać nic - błękitów tło
Ulewa,I całe widnokręgi
Ulewa,"Zasnute w cień, zalane mgłą,"
Ulewa,Porżnięte w deszczu pręgi.
Ulewa,"I dzień, i noc, i nowy wschód"
Ulewa,Przechodzą bez odmiany -
Ulewa,Dokoła szum rosnących wód -
Ulewa,Strop nieba ołowiany.
Ulewa,"I siecze deszcz, i świszcze wiatr,"
Ulewa,"Głośniej się potok gniewa,"
Ulewa,"Na szczytach Tatr, w dolinach Tatr"
Ulewa,Mrok szary i ulewa.
Miejmy nadzieję!,"Miejmy nadzieję!… nie tę lichą, marną,"
Miejmy nadzieję!,"Co rdzeń spruchniały w wątły kwiat ubiera,"
Miejmy nadzieję!,"Lecz tę niezłomną, która tkwi jak ziarno"
Miejmy nadzieję!,Przyszłych poświęceń w duszy bohatera.
Miejmy nadzieję!,"Miejmy nadzieję!… nie tę chciwą złudzeń,"
Miejmy nadzieję!,"Ślepego szczęścia płochą zalotnicę,"
Miejmy nadzieję!,"Lecz tę, co w grobach czeka dnia przebudzeń,"
Miejmy nadzieję!,I przechowuje oręż i przyłbicę.
Miejmy nadzieję!,"Miejmy odwagę!… nie tę jednodniową,"
Miejmy nadzieję!,"Co w rozpaczliwem przedsięwzięciu pryska,"
Miejmy nadzieję!,"Lecz tę, co wiecznie z podniesioną głową"
Miejmy nadzieję!,Nie da się zepchnąć z swego stanowiska.
Miejmy nadzieję!,"Miejmy odwagę!… nie tę tchnącą szałem,"
Miejmy nadzieję!,"Która na oślep leci bez oręża,"
Miejmy nadzieję!,"Lecz tę, co sama niezdobytym wałem"
Miejmy nadzieję!,Przeciwne losy stałością zwycięża.
Miejmy nadzieję!,"Miejmy pogardę dla wrzekomej sławy,"
Miejmy nadzieję!,"I dla bezprawia potęgi zwodniczej,"
Miejmy nadzieję!,"Lecz się nie strójmy w płaszcz męczeństwa krwawy,"
Miejmy nadzieję!,I nie brząkajmy w łańcuch niewolniczy.
Miejmy nadzieję!,"Miejmy pogardę dla pychy zwycięskiej,"
Miejmy nadzieję!,I przyklaskiwać przemocy nie idźmy!
Miejmy nadzieję!,"Ale nie wielbmy poniesionej klęski,"
Miejmy nadzieję!,I ze słabości swojej się nie szczyćmy.
Miejmy nadzieję!,"Przestańmy własną pieścić się boleścią,"
Miejmy nadzieję!,Przestańmy ciągłym lamentem się poić:
Miejmy nadzieję!,"Kochać się w skargach jest rzeczą niewieścią,"
Miejmy nadzieję!,Mężom przystoi w milczeniu się zbroić…
Miejmy nadzieję!,"Lecz nie przestajmy czcić świętości swoje,"
Miejmy nadzieję!,I przechowywać ideałów czystość:
Miejmy nadzieję!,"Do nas należy dać im moc i zbroję,"
Miejmy nadzieję!,By z kraju marzeń przeszły w rzeczywistość.
Daremne żale,"Daremne żale - próżny trud,"
Daremne żale,Bezsilne złorzeczenia!
Daremne żale,Przeżytych kształtów żaden cud
Daremne żale,Nie wróci do istnienia.
Daremne żale,"Świat wam nie odda, idąc wstecz,"
Daremne żale,Znikomych mar szeregu -
Daremne żale,Nie zdoła ogień ani miecz
Daremne żale,Powstrzymać myśli w biegu.
Daremne żale,"Trzeba z żywymi naprzód iść,"
Daremne żale,Po życie sięgać nowe...
Daremne żale,A nie w uwiędłych laurów liść
Daremne żale,Z uporem stroić głowę.
Daremne żale,Wy nie cofniecie życia fal!
Daremne żale,Nic skargi nie pomogą -
Daremne żale,"Bezsilne gniewy, próżny żal!"
Daremne żale,Świat pójdzie swoją drogą.
Daremne żale,1 kwietnia 1877
*** (Bodaj owa rzeczka szuwarem zarosła),"Bodaj owa rzeczka szuwarem zarosła,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Która mnie młodego w obcy kraj zaniosła,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Bodaj owa rzeczka rybek nie rodziła,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Która mnie młodego z domem rozłączyła,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Bodaj owa rzeczka wyschła do ostatka,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Że mnie tam zaniosła, gdzie nie znajdzie matka."
*** (Bodaj owa rzeczka szuwarem zarosła),"""Nie trzeba ci było, o mój chłopcze młody,"
*** (Bodaj owa rzeczka szuwarem zarosła),Puszczać się tak łatwo na wezbrane wody.
*** (Bodaj owa rzeczka szuwarem zarosła),"Nie trzeba ci było z domu się wydzierać,"
*** (Bodaj owa rzeczka szuwarem zarosła),Nie musiałbyś teraz z tęsknoty umierać.
*** (Bodaj owa rzeczka szuwarem zarosła),Rzeczka będzie rzeczką i wciąż będzie płynąć -
*** (Bodaj owa rzeczka szuwarem zarosła),"Wstecz nie wróci woda, musisz marnie ginąć!"
*** (Bodaj owa rzeczka szuwarem zarosła),"A twojej mogiły nie obleją łzami,"
*** (Bodaj owa rzeczka szuwarem zarosła),"Tylko nad nią burze będą wyć nocami!"""
*** (Chłopca mego mi zabrali),Chłopca mego mi zabrali.
*** (Chłopca mego mi zabrali),Matulu!
*** (Chłopca mego mi zabrali),"W świat daleki go pognali,"
*** (Chłopca mego mi zabrali),A ja za nim umrę z bólu -
*** (Chłopca mego mi zabrali),"Dałam na mszę sznur korali,"
*** (Chłopca mego mi zabrali),"Niechaj Pan Bóg go ocali,"
*** (Chłopca mego mi zabrali),Matulu!
*** (Chłopca mego mi zabrali),Do szeregu poszedł z bronią.
*** (Chłopca mego mi zabrali),Mój Boże!
*** (Chłopca mego mi zabrali),Tam śmierć pewna - poszedł po nią.
*** (Chłopca mego mi zabrali),Miłość moja nic nie może
*** (Chłopca mego mi zabrali),Ani łzy go nie zasłonią
*** (Chłopca mego mi zabrali),Przed zawistnej śmierci dłonią.
*** (Chłopca mego mi zabrali),Mój Boże!
*** (Chłopca mego mi zabrali),Nie pytają o to wrogi.
*** (Chłopca mego mi zabrali),Kto ginie.
*** (Chłopca mego mi zabrali),Czy jest sercom ludzkim drogi?
*** (Chłopca mego mi zabrali),Czy płacz siostry za nim płynie?
*** (Chłopca mego mi zabrali),Czy umiera matka z trwogi.
*** (Chłopca mego mi zabrali),Kiedy pyta śmierci srogiej:
*** (Chłopca mego mi zabrali),Kto ginie?
*** (Chłopca mego mi zabrali),Na kulami zaoranej.
*** (Chłopca mego mi zabrali),Na roli.
*** (Chłopca mego mi zabrali),Ma paść we krwi mój kochany...
*** (Chłopca mego mi zabrali),Czyliż na to Bóg pozwoli.
*** (Chłopca mego mi zabrali),By samotnie ginął z rany
*** (Chłopca mego mi zabrali),Z dala swoich - na zasianej
*** (Chłopca mego mi zabrali),Krwią roli?
*** (Chłopca mego mi zabrali),"Spojrzyj na nas, Ty Panienko"
*** (Chłopca mego mi zabrali),Przeczysta!
*** (Chłopca mego mi zabrali),I nad serca mego męką
*** (Chłopca mego mi zabrali),"Ty się zlituj, o gwiaździsta"
*** (Chłopca mego mi zabrali),Niebieskiego dnia jutrzenko!
*** (Chłopca mego mi zabrali),"Osłoń jego swoją ręką,"
*** (Chłopca mego mi zabrali),Przeczysta!
*** (Huczy woda po kamieniach),"Huczy woda po kamieniach,"
*** (Huczy woda po kamieniach),A na głębi cicho płynie -
*** (Huczy woda po kamieniach),"Nie sądź ludzi po zachceniach,"
*** (Huczy woda po kamieniach),Ale prawdy szukaj w czynie.
*** (Huczy woda po kamieniach),"Kto prawdziwe czuć niezdolny,"
*** (Huczy woda po kamieniach),Ten się szumem słowa pieści -
*** (Huczy woda po kamieniach),Potok głośny a swawolny
*** (Huczy woda po kamieniach),Mało wody w sobie mieści.
*** (Huczy woda po kamieniach),Lecz spokojnej cisza toni
*** (Huczy woda po kamieniach),Zwykle wielką głąb zwiastuje -
*** (Huczy woda po kamieniach),"Na wiatr uczuć swych nie trwoni,"
*** (Huczy woda po kamieniach),Kto głęboko w duszy czuje!
"*** (Kiedym cię żegnał, usta me milczały)","Kiedym cię żegnał, usta me milczały,"
"*** (Kiedym cię żegnał, usta me milczały)","I nie wiedziałem, jakie słowo rzucić,"
"*** (Kiedym cię żegnał, usta me milczały)","Więc wszystkie słowa przy mnie pozostały,"
"*** (Kiedym cię żegnał, usta me milczały)",A serce zbiegło i nie chce powrócić.
"*** (Kiedym cię żegnał, usta me milczały)","Tyś powitała znów swój domek biały,"
"*** (Kiedym cię żegnał, usta me milczały)","Gdzie ci słowiki będą z wiosną nucić,"
"*** (Kiedym cię żegnał, usta me milczały)","A mnie przedziela świat nieszczęścia cały,"
"*** (Kiedym cię żegnał, usta me milczały)",Dom mój daleko i nie mogę wrócić.
"*** (Kiedym cię żegnał, usta me milczały)","Tak mi boleśnie, żem odszedł bez echa,"
"*** (Kiedym cię żegnał, usta me milczały)","A jednak lepiej, że żadnym wspomnieniem"
"*** (Kiedym cię żegnał, usta me milczały)","Twych jasnych marzeń spokoju nie skłócę,"
"*** (Kiedym cię żegnał, usta me milczały)","Bo tobie jutrznia życia się uśmiecha,"
"*** (Kiedym cię żegnał, usta me milczały)",A ja z gasnącym żegnam się promieniem
"*** (Kiedym cię żegnał, usta me milczały)","I w ciemność idę, i już nie powrócę."
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Pierwsze uczucia, to kwiaty wiosenne,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)",Co się własną upajają wonią:
"*** (Pierwsze uczucia, to kwiaty wiosenne)",Przed żywszym blaskiem jeszcze w cień się chronią
"*** (Pierwsze uczucia, to kwiaty wiosenne)",I wierzą jeszcze w swe trwanie niezmienne.
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Po nich, ach! inne stubarwne, płomienne,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)",Znów zakwitają i za słońcem gonią:
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Wiedzą, że zwiędną, więc czasu nie trwonią"
"*** (Pierwsze uczucia, to kwiaty wiosenne)",I gaszą tylko pragnienia codzienne.
"*** (Pierwsze uczucia, to kwiaty wiosenne)",A później znowu wspomnień astry blade
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Wschodzą samotne na schyłku jesieni,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)","I chcą trwać tylko i walczą z ulewą,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Widząc w około martwość i zagładę,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)","A w końcu jeden cyprys się zzieleni,"
"*** (Pierwsze uczucia, to kwiaty wiosenne)","Ponure, smutne rezygnacji drzewo."
*** (Po co się budzą pragnienia szalone),"Po co się budzą pragnienia szalone,"
*** (Po co się budzą pragnienia szalone),Gdy ich nie można ugasić napojem?
*** (Po co się budzą pragnienia szalone),Po co się serce wyrywa stęsknione
*** (Po co się budzą pragnienia szalone),"Do burzy, gardząc ciszą i spokojem?"
*** (Po co się budzą pragnienia szalone),Po co chce zedrzeć przyszłości zasłonę
*** (Po co się budzą pragnienia szalone),I nieskończoność zmieścić w łonie swoim
*** (Po co się budzą pragnienia szalone),"Kiedy zaledwie dotknie się spragnione,"
*** (Po co się budzą pragnienia szalone),Usycha w żalu nad zmąconym zdrojem...
*** (Po co się budzą pragnienia szalone),Próżne zabiegi! Wieczyste pragnienia!
*** (Po co się budzą pragnienia szalone),Zwodnicze widma! Któż was nie wyklina?
*** (Po co się budzą pragnienia szalone),"A jednak mimo klątw i złorzeczenia,"
*** (Po co się budzą pragnienia szalone),Każdy na nowo wraca i zaczyna
*** (Po co się budzą pragnienia szalone),"Szukać tej mary, co świat opromienia,"
*** (Po co się budzą pragnienia szalone),I o dawniejszych klęskach zapomina.
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Przykro, przykro jest dębowi, gdy go robak toczy,"
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Ale przykrzej nie móc płakać, gdy łez pełne oczy."
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Smutno biednej jest ptaszynie, gdy jej skrzydła urzną,"
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Ale smutniej jeszcze temu, co kocha na próżno."
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Źle jest zmykać jeleniowi, gdy go zdybią w kniei,"
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)",Ale gorzej jeszcze sercu wyrzec się nadziei.
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Trudno pływać ciężkim głazom po rzecznej głębinie,"
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)",Ale trudniej nie żałować szczęścia - kiedy minie.
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Ciężko, ciężko wrócić na świat, gdy się leży w grobie,"
"*** (Przykro, przykro jest dębowi, gdy go robak toczy)","Ale ciężej, o mój miły, zapomnieć o tobie!"
*** (Siedzi ptaszek na drzewie),Siedzi ptaszek na drzewie
*** (Siedzi ptaszek na drzewie),"I ludziom się dziwuje,"
*** (Siedzi ptaszek na drzewie),"Że najmędrszy z nich nie wie,"
*** (Siedzi ptaszek na drzewie),Gdzie się szczęście znajduje.
*** (Siedzi ptaszek na drzewie),"Bo szukają dokoła,"
*** (Siedzi ptaszek na drzewie),"Tam gdzie nigdy nie bywa,"
*** (Siedzi ptaszek na drzewie),"Pot się leje im z czoła,"
*** (Siedzi ptaszek na drzewie),Cierń im stopy rozrywa.
*** (Siedzi ptaszek na drzewie),Trwonią życia dzień jasny
*** (Siedzi ptaszek na drzewie),"Na zabiegi i żale,"
*** (Siedzi ptaszek na drzewie),Tylko w piersi swej własnej
*** (Siedzi ptaszek na drzewie),Nie szukają go wcale.
*** (Siedzi ptaszek na drzewie),W nienawiści i kłótni
*** (Siedzi ptaszek na drzewie),"Wydzierają coś sobie,"
*** (Siedzi ptaszek na drzewie),Aż zmęczeni i smutni
*** (Siedzi ptaszek na drzewie),Idą przespać się w grobie.
*** (Siedzi ptaszek na drzewie),"A więc, siedząc na drzewie,"
*** (Siedzi ptaszek na drzewie),"Ptaszek dziwi się bardzo,"
*** (Siedzi ptaszek na drzewie),Chciałby przestrzec ich w śpiewie...
*** (Siedzi ptaszek na drzewie),Lecz przestrogą pogardzą.
*** (Trzeba z żywymi naprzód iść),"Trzeba z żywymi naprzód iść,"
*** (Trzeba z żywymi naprzód iść),"Po życie sięgać nowe,"
*** (Trzeba z żywymi naprzód iść),A nie w uwiędłych laurów liść
*** (Trzeba z żywymi naprzód iść),Z uporem stroić głowę
*** (Trzeba z żywymi naprzód iść),Wy nie cofniecie życia fal!
*** (Trzeba z żywymi naprzód iść),Nic skargi nie pomogą:
*** (Trzeba z żywymi naprzód iść),"Bezsilne gniewy, próżny żal!"
*** (Trzeba z żywymi naprzód iść),Świat pójdzie swoją drogą!
Abdykacja,Sukienkę miała w paseczki
Abdykacja,"Perkalikową,"
Abdykacja,"We włosach polne kwiateczki,"
Abdykacja,Twarzyczkę zawsze różową;
Abdykacja,Nie było piękniejszej dzieweczki -
Abdykacja,Daję wam słowo.
Abdykacja,Była doprawdy królewną
Abdykacja,"Cudownych krajów,"
Abdykacja,I miała orkiestrę śpiewną
Abdykacja,"W królestwie złotych gajów,"
Abdykacja,"I armię kwiatów powiewną,"
Abdykacja,Brzegiem ruczajów.
Abdykacja,"Gdy zbrojna ruszyła w pole,"
Abdykacja,"Wraz z wojskiem swoim,"
Abdykacja,Wszystko spełniało jej wolę:
Abdykacja,"Słynęła w świecie podbojem,"
Abdykacja,I mnie zabrała w niewoli
Abdykacja,Nad jasnym zdrojem.
Abdykacja,Miała na swoje rozkazy
Abdykacja,"Nadziemskie moce,"
Abdykacja,"Poranki słodkiej ekstazy,"
Abdykacja,"Rajskich pożądań owoce,"
Abdykacja,"Gwiaździstych sfer krajobrazy,"
Abdykacja,Wiosenne noce.
Abdykacja,"Nie wiem, dlaczego złożyła"
Abdykacja,"Berło liliowe,"
Abdykacja,I na koronki zmieniła
Abdykacja,Swoje korony tęczowe.
Abdykacja,"Wiem, że Arkadia straciła"
Abdykacja,Swoją królowę.
Abdykacja,"Dziś tylko... wielką jest damą,"
Abdykacja,"Strojną bez miary,"
Abdykacja,"Ma pałac z herbem nad bramą,"
Abdykacja,"Kaprysy spełnia mąż stary,"
Abdykacja,"Ale już nie jest tą samą,"
Abdykacja,"Znikły, ach! czary."
Abdykacja,I choć króluje na balu
Abdykacja,"W każdym salonie,"
Abdykacja,Znać na niej cień żalu...
Abdykacja,"I marzy, wspierając skronie,"
Abdykacja,O swej sukience z perkalu
Abdykacja,I polnych kwiatów koronie.
"Ach, jak mi smutno!","Ach, jak mi smutno! Mój anioł mnie rzucił,"
"Ach, jak mi smutno!","W daleki odbiegł świat,"
"Ach, jak mi smutno!","I próżno wzywam, ażeby mi zwrócił"
